sulfa	antibacterial
hypoplasia	dysplasia
sculptor	artist
nicotine	alkaloid
lye	caustic
speakeasy	barroom
hotshot	expert
hatred	emotion
antivenin	antitoxin
hindi	sanskrit
duelist	adversary
oogenesis	gametogenesis
extravaganza	entertainment
hayfield	grassland
stanhopea	orchid
archdiocese	diocese
subdeacon	clergyman
hysteric	neurotic
taxman	bureaucrat
cablegram	telegram
ada	enzyme
irredentism	doctrine
daffodil	narcissus
silents	movie
voter	citizen
moa	ratite
rustic	commoner
nordic	germanic
dinnertime	mealtime
emancipator	liberator
illustrator	artist
longlegs	shorebird
sooth	truthfulness
panty	underpants
calloused	inure
triamcinolone	corticosteroid
futon	mattress
churchman	clergyman
abridgement	summary
laelia	orchid
tricker	troublemaker
borzoi	wolfhound
arminian	disciple
nightrider	attacker
plugboard	central
chrysotile	asbestos
innovator	originator
maidservant	domestic
kerosene	hydrocarbon
cuboid	parallelepiped
rankle	annoy
madrona	arbutus
clinician	practitioner
astatine	halogen
edelweiss	wildflower
panadol	analgesic
archaeology	anthropology
barbu	threadfin
middy	blouse
easterner	inhabitant
malathion	insecticide
cartographer	geographer
physiologist	biologist
marc	brandy
brewpub	brewery
proteomics	genetics
donjon	stronghold
klutz	stupid
codeine	analgesic
logistician	expert
furfural	aldehyde
phosphoprotein	protein
knucklehead	stupid
illegality	unlawfulness
dampness	wetness
pedophilia	paraphilia
formalization	systematization
harijan	outcast
calvinism	protestantism
bagel	bun
intricacy	complexity
skater	athlete
pseudo	deceiver
pertinence	relevance
sheraton	furniture
menhir	megalith
avenge	punish
negotiator	communicator
victrola	gramophone
fishmonger	trader
hydrologist	geologist
typist	employee
mina	starling
gloxinia	houseplant
switchboard	central
hcg	gonadotropin
concision	terseness
cottier	serf
norseman	european
newsagent	shopkeeper
sandpiper	shorebird
puffery	flattery
muckraker	detractor
autobahn	expressway
liao	dynasty
malign	defame
pachuco	adolescent
estradiol	estrogen
enteropathy	disease
telemetry	measurement
triggerman	murderer
townes	physicist
prednisolone	glucocorticoid
scammer	deceiver
cholesterol	sterol
dilaudid	analgesic
spirochete	eubacteria
alprazolam	benzodiazepine
gangster	criminal
mobster	criminal
malaprop	misstatement
hellene	european
curator	custodian
bracero	laborer
spacewalker	astronaut
eutherian	mammal
millipede	arthropod
selenium	antioxidant
audiology	otology
diamondback	rattlesnake
veldt	grassland
furze	shrub
brioche	bun
toxoid	antigen
novocaine	procaine
tirade	denunciation
lab	workplace
advertiser	publicist
infomercial	commercial
rhomb	parallelogram
doxorubicin	antibiotic
paleography	archeology
foursquare	rectangle
murine	rodent
hamster	rodent
liar	deceiver
asthenia	infirmity
neurosurgeon	surgeon
bacillus	eubacteria
omeprazole	antacid
leptospirosis	zoonosis
thiopental	barbiturate
tyrannosaurus	theropod
eurasian	european
dunlin	sandpiper
wildebeest	antelope
chlorofluorocarbon	fluorocarbon
schnauzer	terrier
tamarin	marmoset
underwear	undergarment
rotavirus	reovirus
schoolboy	schoolchild
heckler	troublemaker
mollusc	invertebrate
seljuk	dynasty
rotifer	invertebrate
carriageway	roadway
extortionist	criminal
auk	seabird
stickiness	viscosity
lysosome	organelle
durability	permanence
electrolytic	capacitor
arsonist	criminal
pachysandra	subshrub
msh	hormone
songwriter	composer
yugoslav	european
slavey	domestic
palaeobiology	paleontology
ghat	stairway
philippic	denunciation
marsh	wetland
farmer	creator
ilmenite	mineral
wollastonite	mineral
imposter	deceiver
stockman	farmer
monoxide	oxide
penetrator	intruder
hoodlum	criminal
codeine	antitussive
lindane	insecticide
corticotropin	hormone
valor	courage
intermediary	negotiator
dexamethasone	corticosteroid
monosaccharide	carbohydrate
leftist	socialist
ddt	insecticide
blini	pancake
feasibility	practicability
irresponsibility	untrustworthiness
suppertime	mealtime
serbian	slav
philanderer	libertine
quicklime	oxide
angevin	frenchman
syndicator	businessman
pasteboard	cardboard
ascomycete	fungus
carpetbagger	opportunist
archeologist	anthropologist
liverwort	bryophyte
superstar	expert
physostigmine	alkaloid
seismology	geophysics
propagandist	communicator
cassock	vestment
scofflaw	criminal
jailor	lawman
monasticism	austerity
brakeman	trainman
sirocco	windstorm
spermatozoon	gamete
beltway	highway
mezcal	cactus
reporter	communicator
weirdness	unfamiliarity
canape	appetizer
disillusionment	edification
ironmongery	merchandise
lothario	womanizer
homeroom	classroom
eavesdropper	hearer
sophism	fallacy
paratroops	infantry
sightseer	tourist
hiker	pedestrian
cameraman	photographer
beninese	african
wainwright	wright
monastic	religious
recrudescence	outbreak
visualizer	perceiver
octagon	polygon
nutria	rodent
latke	pancake
winery	distillery
swampland	wetland
zebra	equine
orthoclase	feldspar
lunchtime	mealtime
androgyne	bisexual
paramecium	ciliate
carrack	galleon
tetrahedron	polyhedron
ashkenazi	jew
resoluteness	trait
flavin	ketone
microscopist	scientist
luminal	barbiturate
chaplain	clergyman
hedonist	sensualist
omentum	peritoneum
indiana	artist
rani	aristocrat
hyperbole	trope
surplice	vestment
finagle	achieve
recliner	armchair
subjectivist	intellectual
eubacteria	bacteria
egocentrism	trait
airbus	airliner
expressionist	artist
angevine	frenchman
carnelian	chalcedony
nandrolone	androgen
fluor	mineral
penicillin	antibiotic
endonuclease	nuclease
timorese	asian
rabies	zoonosis
yid	jew
compote	dessert
babka	coffeecake
awol	absentee
carotenoid	antioxidant
paraphernalia	equipment
minicab	minicar
cravat	neckwear
patisserie	bakery
sesquicentennial	anniversary
polyelectrolyte	electrolyte
florilegium	anthology
atavism	recurrence
paucity	scarcity
marketer	merchant
bauxite	mineral
gerbil	rodent
napa	crucifer
benefactress	benefactor
fentanyl	opiate
arsehole	anus
woodchuck	marmot
guayule	subshrub
bonobo	chimpanzee
silverware	tableware
kaolinite	mineral
nephew	kinsman
epicure	sensualist
milfoil	achillea
welshman	european
polluted	dirty
pavlova	dessert
stripling	juvenile
proteinase	enzyme
senna	shrub
epigraphy	paleography
belorussian	european
canonisation	sanctification
savannah	grassland
stockcar	boxcar
submariner	bluejacket
hypnotize	sedate
halite	mineral
germander	subshrub
diatribe	denunciation
dodecahedron	polyhedron
newswoman	reporter
angolan	african
cpr	resuscitation
wednesday	weekday
quatrain	stanza
pastureland	grassland
dexterity	adeptness
cameroonian	african
chloramine	antiseptic
cybercafe	cafe
saleswoman	salesperson
chlorhexidine	antiseptic
nucleotide	ester
clomipramine	tricyclic
upbraid	accuse
disseminator	communicator
agouti	rodent
guestworker	workman
arb	businessman
storehouse	depository
suffragette	suffragist
ribavirin	antiviral
grenadine	syrup
exotoxin	toxin
nandu	ratite
cowry	gastropod
earthstar	fungus
sportsman	athlete
antioxidant	inhibitor
druidism	paganism
flan	dessert
arthroscope	endoscope
lutein	carotenoid
monkshood	aconite
walkaway	victory
hijinks	merrymaking
inoculation	immunization
streptococcus	eubacteria
recluse	loner
calamari	seafood
thimerosal	antiseptic
metronidazole	antiprotozoal
plainsman	inhabitant
verticillium	fungus
draftee	serviceman
pimple	acne
playboy	hedonist
foodie	sensualist
asbestos	amphibole
oast	kiln
trappist	monk
burberry	raincoat
deer	ruminant
godliness	piety
flaxseed	oilseed
schoolmarm	schoolteacher
easel	tripod
janitor	custodian
frisbee	plaything
paresis	paralysis
synecdoche	trope
clairvoyant	psychic
galactose	sucrose
meteorite	meteoroid
cleric	clergyman
meccano	plaything
einstein	intellectual
joyfulness	emotion
idolize	adore
scatterbrain	simpleton
codify	systematize
atropine	antispasmodic
hemangioma	angioma
sephardi	jew
sobriquet	appellation
ade	beverage
papain	enzyme
mulla	muslim
assuredness	composure
reptile	vertebrate
perpetuity	permanence
gotterdammerung	myth
lem	spacecraft
bangladeshi	asian
owlet	owl
bookkeeping	accountancy
psychoanalyst	psychiatrist
firethorn	shrub
schlock	merchandise
echinoderm	invertebrate
interregnum	interim
defamer	detractor
renin	protease
photometry	measurement
supplier	businessperson
racist	bigot
torero	bullfighter
troller	fisherman
haiku	poem
tearoom	restaurant
charon	ferryman
tec	policeman
rampart	embankment
primaquine	antimalarial
telomerase	enzyme
iguanodon	dinosaur
bryozoan	invertebrate
agriculturalist	farmer
gondolier	boatman
physicist	scientist
nagari	syllabary
pureblood	animal
witchery	sorcery
madagascan	african
cactus	succulent
clostridium	eubacteria
mountie	policeman
ventolin	bronchodilator
physiography	geography
etcher	artist
limonene	terpene
screwup	mismanagement
parolee	criminal
primatology	mammalogy
stilton	bleu
flowerpot	container
transferrin	globulin
transaminase	transferase
shebeen	tavern
larkspur	delphinium
mucin	glycoprotein
electroshock	electrotherapy
chlorine	halogen
shanny	blenny
carpel	pistil
lutheran	disciple
ethylene	alkene
le	lupus
centrosome	cytoplasm
lombard	european
archduchess	princess
bling	jewelry
borstal	reformatory
amphotericin	antibiotic
mujahid	muslim
plantagenet	dynasty
tanzanian	african
hawthorn	shrub
coconspirator	criminal
ethnology	anthropology
spleenwort	fern
millwright	wright
garnet	mineral
prescribed	inflict
adventurism	recklessness
kiln	furnace
goddess	deity
cymric	brythonic
pleuropneumonia	pneumonia
jongleur	singer
isinglass	mineral
albinism	hypopigmentation
artiste	performer
goldfish	cyprinid
scid	immunodeficiency
amish	mennonite
rosebush	shrub
syncytium	cytoplasm
byname	appellation
dextrin	polysaccharide
tricyclic	antidepressant
pawnbroker	lender
turnkey	lawman
elavil	tricyclic
ploughman	farmhand
waffler	communicator
galena	mineral
lcm	multiple
cottonseed	oilseed
anthill	knoll
cosmetic	toiletry
polypore	basidiomycete
olympian	athlete
synopsis	summary
hirer	employer
mac	raincoat
nembutal	barbiturate
defector	wrongdoer
budgie	parakeet
rustler	thief
dale	valley
moll	criminal
tadpole	larva
taoist	disciple
forester	farmer
autoloader	firearm
disaccharide	oligosaccharide
legionella	bacteria
presidio	fortress
overbite	malocclusion
hapsburg	dynasty
tidbit	dainty
arietta	aria
detainee	prisoner
bedouin	nomad
cheops	pharaoh
suffragette	feminist
atherosclerosis	arteriosclerosis
bisexual	sensualist
phototropism	tropism
miser	hoarder
mineralogy	geology
gravedigger	laborer
diethylstilbestrol	estrogen
sard	chalcedony
mollusk	invertebrate
siskin	finch
althea	mallow
totalitarian	disciple
antibody	protein
rhododendron	shrub
narcolepsy	hypersomnia
transmittance	coefficient
immunogen	antigen
healthfulness	wholesomeness
stirk	cattle
plowman	farmhand
therapist	expert
hellion	troublemaker
hick	rustic
yob	attacker
epicurean	sensualist
cartel	consortium
lumberman	laborer
gramicidin	antiseptic
unitarian	disciple
enchanter	sorcerer
obturator	prosthesis
amyloidosis	illness
decidua	epithelium
demerol	narcotic
petty	larceny
loblolly	gruel
monetize	legalize
fungible	commodity
glume	bract
kleptomaniac	appropriator
frenchwoman	european
packman	seller
tuesday	weekday
manzanilla	sherry
dementia	insanity
carolingian	sovereign
snobbishness	arrogance
geomancer	diviner
ragamuffin	urchin
skein	hank
nitrogenase	enzyme
warhead	explosive
iodide	halide
pahoehoe	lava
goy	christian
flint	silica
rondel	poem
chasuble	vestment
dicot	angiosperm
animatronics	robotics
formaldehyde	aldehyde
literalness	concreteness
surrealist	artist
envoi	stanza
mack	raincoat
transgressor	wrongdoer
rube	rustic
sackbut	trombone
paymaster	payer
burgess	englishman
misapprehension	misconception
blah	grandiosity
paranoid	psychotic
carborundum	abrasive
bookman	intellectual
schizophrenia	psychosis
hooligan	attacker
talkie	movie
deodorant	toiletry
nystatin	antibiotic
farrier	blacksmith
insurability	eligibility
diphenhydramine	antihistamine
adenocarcinoma	carcinoma
great	achiever
indri	lemur
oxygenase	oxidoreductase
handbill	ad
azurite	malachite
circe	sorceress
milkman	deliveryman
somalian	african
instar	arthropod
smoothbore	firearm
piety	righteousness
nightie	lingerie
evildoer	wrongdoer
nightbird	individualist
abracadabra	gibberish
huarache	sandal
rectitude	righteousness
prescribe	inflict
servility	submissiveness
skag	heroin
wildflower	angiosperm
shina	dard
bedsit	apartment
coffeehouse	restaurant
wesleyan	methodist
citizen	national
julep	highball
cartwright	wright
igd	immunoglobulin
poetess	poet
endorphin	peptide
osmund	fern
bravura	virtuosity
clonidine	antihypertensive
conchology	malacology
urokinase	protease
cattle	bovine
stevedore	laborer
augustinian	friar
austrian	european
sherpa	asian
boudoir	bedroom
veranda	porch
elastase	enzyme
whitetail	deer
battlement	rampart
firecracker	firework
thumbnail	fingernail
warfarin	anticoagulant
unreliability	irresponsibility
undergrad	collegian
sambuca	liqueur
chessboard	checkerboard
cytokine	protein
luxemburger	european
behaviourist	psychologist
honeypot	protea
archeology	anthropology
noncombatant	serviceman
nudist	individualist
salesgirl	salesperson
cerussite	mineral
sonatina	sonata
dbms	software
phenacetin	analgesic
neurotoxin	toxin
kazakhstani	asian
constructivist	artist
profanity	utterance
peshmerga	kurd
virologist	microbiologist
ileus	enteropathy
chapeau	headdress
styrax	shrub
vancomycin	antibiotic
derogate	disparage
tetrahymena	ciliate
serin	finch
manicurist	beautician
dna	polymer
grandma	grandparent
nurseryman	horticulturist
volcanology	geophysics
hn	hydride
ethiopian	african
meanie	oppressor
magnate	businessman
workman	employee
astrologer	forecaster
reactant	chemical
mavin	expert
airstrip	airfield
myelofibrosis	fibrosis
savanna	grassland
avocet	shorebird
antiquarian	expert
barrister	lawyer
leptospira	spirochete
catsup	condiment
veracity	truthfulness
tusker	mammal
da	prosecutor
fishery	workplace
rudd	cyprinid
ambidexterity	handedness
butadiene	hydrocarbon
newsboy	deliveryman
aplasia	dysplasia
dilemma	perplexity
sth	hormone
lebanese	asian
ming	dynasty
matabele	nguni
scrivener	employee
nobody	commoner
faience	earthenware
aspirant	applicant
rapeseed	oilseed
amaretto	liqueur
recce	reconnaissance
dreck	merchandise
honeymooner	spouse
belgian	european
glucophage	antidiabetic
diplegia	paralysis
researcher	scientist
spammer	sender
canonization	sanctification
exclusiveness	snobbery
inn	hotel
cytogenetics	genetics
hypocrite	deceiver
monoplane	airplane
chophouse	restaurant
unreason	insanity
nullah	valley
slater	isopod
pesticide	chemical
whitethorn	hawthorn
disgorgement	reflex
acrolein	aldehyde
sweatshirt	pullover
underrate	misjudge
wahabi	muslim
enkephalin	endorphin
jailer	lawman
jordanian	asian
explosive	chemical
neuroscientist	neurobiologist
glanders	zoonosis
dreadnought	battleship
coiffeur	hairdresser
amhara	ethiopian
expounder	intellectual
hypermedia	multimedia
hepatic	bryophyte
chignon	hairdo
immortelle	everlasting
chadian	african
organdy	muslin
adrenergic	vasoconstrictor
fogy	oldster
psa	protein
valium	benzodiazepine
limey	englishman
emeritus	retiree
colander	strainer
weightlifter	athlete
abuser	wrongdoer
callous	inure
bathymetry	measurement
glucosamine	amino
disloyalty	infidelity
jingo	patriot
snobbery	arrogance
impala	antelope
antipsychotic	tranquilizer
neuroleptic	tranquilizer
whipper	oppressor
thorazine	phenothiazine
meningioma	tumor
shanghai	kidnap
earthling	inhabitant
oceanographer	scientist
marasmus	malnutrition
drummer	percussionist
turp	resection
aussie	inhabitant
countersuit	lawsuit
matador	bullfighter
conciseness	terseness
idolised	adore
neuropsychology	psychology
shotgun	firearm
broncho	mustang
sculptress	sculptor
trustworthiness	trait
curlew	shorebird
gabonese	african
hearer	perceiver
grandparent	forebear
delinquent	wrongdoer
menorrhagia	menstruation
gasohol	hydrocarbon
pope	catholic
platitude	truism
biophysicist	physicist
tights	hosiery
freethinking	doctrine
mesa	tableland
mesentery	peritoneum
masonite	fiberboard
allosaurus	theropod
neosporin	antibacterial
skybox	stadium
nincompoop	simpleton
persecution	maltreatment
grappa	brandy
bedspread	bedclothes
visitor	traveler
grandmother	grandparent
stomper	pedestrian
wren	passerine
odalisque	concubine
jessamine	jasmine
accountant	businessperson
swashbuckling	demeanor
chronicler	historian
peter	penis
carrell	alcove
bhutanese	asian
shipwright	wright
ahem	utterance
spaceship	spacecraft
copyist	employee
agate	chalcedony
housemaster	headmaster
heroism	courage
counterrevolutionary	revolutionist
artist	creator
lh	gonadotropin
tetracycline	antibacterial
hatmaker	merchant
cittern	guitar
pectin	cellulose
norepinephrine	vasoconstrictor
tightwad	miser
sheikha	wife
lecithin	emulsifier
enterobacteria	eubacteria
alb	vestment
periodontitis	disease
brule	teton
sonority	timbre
huguenot	calvinist
warehouseman	workman
bitterroot	wildflower
dualism	doctrine
pembroke	corgi
metazoan	animal
bearcat	civet
foreperson	juror
potion	beverage
curate	clergyman
bilby	bandicoot
eritrean	ethiopian
humanitarianism	doctrine
mugwort	wormwood
overstay	bide
instrumentalist	performer
dishware	tableware
kangaroo	marsupial
pud	dessert
ngu	urethritis
naturopath	therapist
vaquita	porpoise
avenger	attacker
humorist	entertainer
pentose	monosaccharide
stepdaughter	stepchild
uracil	nucleotide
ornithologist	zoologist
silicone	siloxane
sociopath	neurotic
anion	ion
helianthemum	shrub
pharmacogenetics	genetics
saxitoxin	neurotoxin
inexperience	ignorance
caracal	lynx
malachite	mineral
yea	affirmative
loudmouth	troublemaker
woodcock	shorebird
jubilee	anniversary
rocephin	cephalosporin
catecholamine	hormone
skirmisher	combatant
actinolite	amphibole
yellowlegs	sandpiper
idolized	adore
ineffectiveness	powerlessness
bowman	expert
cyperus	cyperaceae
aunt	kinswoman
aromatherapy	therapy
ig	antibody
lunchroom	restaurant
geebung	shrub
trinidadian	inhabitant
cashbox	strongbox
rooibos	shrub
lorazepam	benzodiazepine
plasminogen	plasmin
gendarme	policeman
fluorite	mineral
astrodynamics	astronomy
vender	merchant
homophone	homonym
freebooter	thief
devanagari	syllabary
sweetpea	vine
verdin	titmouse
zit	acne
museum	depository
rhombus	parallelogram
genealogist	expert
sycophant	flatterer
hypnotised	sedate
reaffirmation	avowal
dimwit	simpleton
tench	cyprinid
meadow	grassland
fenestra	orifice
coronary	thrombosis
barmaid	bartender
gambian	african
linearity	dimensionality
metaphor	trope
collagenase	enzyme
bigamist	spouse
assyriology	archeology
ecologist	biologist
tetroxide	oxide
disfranchisement	discontinuance
gaba	neurotransmitter
menshevik	socialist
sle	lupus
emigrant	migrant
yes	affirmative
prevaricate	misinform
chert	silica
kinase	enzyme
ubiquinone	coenzyme
internee	prisoner
rolaids	antacid
quadrilateral	polygon
itinerant	laborer
courier	traveler
twerp	simpleton
expressway	highway
shoplifter	thief
sapsucker	woodpecker
meson	boson
pitman	miner
jesuit	religious
abridgment	summary
kerosine	hydrocarbon
indispensability	essentiality
sensitizer	activator
policyholder	customer
mathematician	scientist
mugger	robber
neurosyphilis	syphilis
atopy	allergy
nightgown	lingerie
tractability	trait
musher	traveler
centennial	anniversary
blackbuck	antelope
togolese	african
thymidine	nucleoside
customer	consumer
bonehead	stupid
dockyard	waterfront
hanuman	langur
dumas	legislature
protea	shrub
ricin	albumin
permissibility	admissibility
patroller	watchman
crocked	dirty
fusilier	infantryman
reproducibility	dependability
trichloroethane	ethylene
derris	shrub
colostomy	ostomy
caladenia	orchid
scotsman	european
albuterol	bronchodilator
cretinism	hypothyroidism
osteoarthritis	arthritis
congressman	legislator
realness	actuality
zionist	jew
autostrada	expressway
bolivia	canasta
prowler	intruder
sangoma	therapist
popgun	plaything
chevy	annoy
cabinetmaking	carpentry
transact	interact
hypnotise	sedate
azalea	rhododendron
shareholder	investor
fabian	socialist
central	workplace
groundhog	marmot
princess	aristocrat
copepod	crustacean
softy	weakling
trf	hormone
wisteria	vine
phenergan	antihistamine
subluxation	luxation
orthodontia	dentistry
freedman	freeman
camaraderie	sociability
crassness	insensitivity
landman	inhabitant
specifier	intellectual
yokel	rustic
lender	investor
grandfather	grandparent
dts	psychosis
barrelhouse	barroom
necklace	jewelry
erythropoietin	glycoprotein
invertebrate	animal
sika	deer
outcast	unfortunate
ringway	highway
gastronome	sensualist
ciliate	protozoan
dimmer	rheostat
arroyo	gully
salp	tunicate
adrenaline	vasoconstrictor
castillian	spaniard
skydiver	parachutist
capybara	rodent
corvette	warship
carthusian	monk
espadrille	sandal
embezzler	deceiver
peptidase	enzyme
blaster	workman
highflyer	achiever
plastid	granule
iga	immunoglobulin
nightshirt	nightwear
orthodontics	dentistry
debater	disputant
underskirt	undergarment
egalitarianism	doctrine
impersonator	deceiver
arsenical	pesticide
hemiplegia	paralysis
deceiver	wrongdoer
preteen	juvenile
decagon	polygon
fertiliser	chemical
lydian	anatolian
caliph	muslim
mormonism	protestantism
zoophilia	paraphilia
trafficker	merchant
arborvitae	conifer
aunty	kinswoman
dervish	fakir
progesterone	progestin
cypriot	european
calif	muslim
amitriptyline	tricyclic
inerrancy	infallibility
skinflint	hoarder
sinhala	sanskrit
hydrology	geophysics
intersex	bisexual
taxpayer	payer
housemaid	domestic
mefloquine	antimalarial
mongol	oriental
irani	asian
genomics	genetics
borrelia	spirochete
plasterboard	wallboard
ethane	hydrocarbon
fishpond	pond
scanty	underpants
maldivian	asian
burdock	subshrub
hausen	sturgeon
cigarillo	cigar
roquefort	bleu
pachyderm	placental
instinct	aptitude
glasswork	tableware
zori	sandal
adh	vasoconstrictor
overemphasize	overstate
nitroglycerin	vasodilator
certiorari	writ
gentamicin	antibiotic
coltan	mineral
goidelic	celtic
molybdenite	mineral
auberge	hotel
inventiveness	creativity
carthaginian	african
roughneck	attacker
plebeian	commoner
pulpwood	softwood
olivine	mineral
periodontist	dentist
boozer	drunkard
laureate	honoree
shunter	locomotive
neonatology	pediatrics
lauder	communicator
greenskeeper	custodian
bluffer	deceiver
hillbilly	rustic
dinnerware	tableware
flatus	reflex
adsorbent	sorbent
hatemonger	detractor
shylock	lender
methadone	narcotic
khufu	pharaoh
promisee	communicator
makeshift	expedient
physiotherapist	therapist
packaged	encase
pegleg	prosthesis
terrarium	vivarium
idiot	simpleton
meth	amphetamine
neurophysiology	neuroscience
canyon	ravine
crossbill	finch
entombment	funeral
gardenia	shrub
banality	truism
augmentin	penicillin
turfan	tocharian
modernist	artist
plover	shorebird
promethazine	antiemetic
fishwife	trader
strep	eubacteria
finesse	tact
thermocouple	thermometer
urdu	sanskrit
bot	larva
bungler	incompetent
unawareness	unconsciousness
supercharger	compressor
dermatitis	eczema
ptolemy	dynasty
fedayeen	paramilitary
coliseum	stadium
kike	jew
plosive	obstruent
corticosterone	glucocorticoid
cager	athlete
trimaran	sailboat
triazolam	benzodiazepine
tole	metalware
senator	legislator
weatherman	meteorologist
glucoside	glycoside
muntjac	deer
roamer	traveler
carjack	commandeer
necktie	neckwear
reassertion	avowal
fridge	refrigerator
masseur	massager
docker	laborer
scot	european
breadbox	container
transcriptase	polymerase
baronet	aristocrat
biopiracy	larceny
physiotherapy	therapy
allgood	goosefoot
gypsum	mineral
jonah	unfortunate
hexagon	polygon
bumbler	incompetent
griot	narrator
portico	porch
cromlech	megalith
habsburg	dynasty
bookcase	furniture
sedition	misdemeanor
ophthalmia	conjunctivitis
khoikhoi	khoisan
crag	cliff
epinephrine	catecholamine
functionality	practicality
steenbok	antelope
cnidarian	invertebrate
vibrancy	timbre
ugandan	african
adrenaline	hormone
junto	clique
whatnot	curio
gigolo	libertine
ssri	antidepressant
expat	absentee
ragnarok	myth
epinephrine	neurotransmitter
homophobe	bigot
nightdress	nightwear
okapi	giraffe
longshoreman	laborer
lymphocyte	leukocyte
garbageman	hauler
reductase	enzyme
bellbird	cotinga
bikini	swimsuit
minocycline	tetracycline
undesirability	bad
tunisian	african
trinitarianism	protestantism
weedkiller	chemical
croatian	slav
gatecrasher	intruder
cruiserweight	prizefighter
displeasure	dissatisfaction
tandoor	oven
entrepreneur	businessperson
zantac	antacid
propriety	demeanor
gran	grandparent
responder	communicator
larvicide	chemical
estriol	estrogen
pontifical	vestment
pollen	spore
egyptology	archeology
corundum	mineral
obnoxiousness	offensiveness
lamasery	monastery
peon	laborer
marum	germander
ghanian	african
healer	expert
blockhead	stupid
heptagon	polygon
railroader	employee
glucagon	hormone
barman	employee
geographer	expert
derringer	pistol
marginalise	interact
clumber	spaniel
jadeite	mineral
aftertaste	afterimage
ponytail	hairdo
morphia	analgesic
desuetude	inaction
tantalite	mineral
bloodstone	chalcedony
neocolonialism	colonialism
gaoler	lawman
bougainvillea	vine
pentothal	barbiturate
lowlander	scot
pleaser	entertainer
sweatshop	factory
ventriloquist	performer
faqir	muslim
andorran	european
bowtie	necktie
opium	narcotic
purebred	animal
tagamet	antacid
tetrapod	vertebrate
streptococci	eubacteria
brontosaurus	sauropod
tritium	hydrogen
infallibility	dependability
sniper	marksman
cholla	cactus
equivocate	misinform
tress	hairdo
weathercock	weathervane
wiz	expert
kudzu	vine
actinomyces	eubacteria
apatite	mineral
panicle	raceme
cenobite	religious
hyperplasia	dysplasia
phosphatase	enzyme
unilateralism	doctrine
doxycycline	antibiotic
signaler	communicator
magdalen	sinner
commercialism	transaction
oxymoron	trope
monday	weekday
nasality	timbre
rapier	sword
oryx	antelope
hanover	dynasty
lamisil	antifungal
simile	trope
expropriation	confiscation
iraqi	asian
bacterium	microorganism
sandstorm	windstorm
trilateral	polygon
mullah	muslim
cyberwar	terrorism
radiotherapy	therapy
paleopathology	archeology
gat	pistol
epidemic	outbreak
grevillea	shrub
rifampin	antibacterial
paperboy	deliveryman
maharani	princess
lysozyme	enzyme
selfishness	stinginess
squib	firework
homozygote	zygote
vegan	vegetarian
stayer	animal
primidone	anticonvulsant
underclothes	undergarment
warden	lawman
steelworks	factory
footballer	athlete
chitin	polysaccharide
irreligion	impiety
lapwing	plover
spironolactone	antihypertensive
demonstrative	pronoun
logger	laborer
