fawn	young
lacewing	invertebrate
senna	shrub
chacma	primate
chacma	placental
chacma	mammal
chacma	vertebrate
chacma	chordate
chacma	animal
chacma	organism
roadrunner	cuckoo
sledder	athlete
sledder	contestant
brainworker	person
brainworker	organism
tautog	fish
tautog	vertebrate
tautog	chordate
tautog	animal
geisha	geisha
geisha	Japanese
geisha	Asian
vicegerent	assistant
vicegerent	worker
cannibal	savage
cannibal	primitive
chinchilla	rodent
lagomorph	lagomorph
intervenor	party
playboy	playboy
playboy	hedonist
horsetail	pteridophyte
huntress	hunter
meteorologist	specialist
meteorologist	expert
standardizer	person
standardizer	organism
lasiocampid	insect
lasiocampid	arthropod
lasiocampid	invertebrate
lasiocampid	animal
muskellunge	fish
muskellunge	vertebrate
muskellunge	chordate
muskellunge	animal
odalisque	leader
caiman	diapsid
caiman	reptile
revenuer	worker
revenuer	person
revenuer	organism
treehopper	animal
treehopper	organism
syndic	agent
syndic	official
pignut	tree
pignut	plant
pignut	actor
pignut	performer
pignut	entertainer
pignut	person
pignut	organism
enchantress	occultist
hog	hog
paddlefish	fish
paddlefish	vertebrate
paddlefish	chordate
paddlefish	animal
cheetah	feline
cheetah	carnivore
cheetah	predator
swine	swine
twiner	worker
twiner	person
twiner	organism
wheatear	singer
wheatear	musician
wheatear	performer
wheatear	entertainer
bocconia	plant
bocconia	actor
bocconia	performer
bocconia	entertainer
bocconia	person
bocconia	organism
ptarmigan	game
mouflon	bovid
mouflon	ruminant
mouflon	ungulate
mouflon	placental
mouflon	mammal
mouflon	vertebrate
mouflon	chordate
mouflon	animal
eland	antelope
eland	bovid
eland	ruminant
eland	ungulate
eland	placental
eland	mammal
snailfish	vertebrate
snailfish	chordate
snailfish	animal
snailfish	organism
philatelist	worker
chump	victim
chump	unfortunate
bowhead	placental
bowhead	mammal
bowhead	vertebrate
bowhead	chordate
bowhead	animal
assemblywoman	representative
assemblywoman	negotiator
assemblywoman	communicator
deodar	tree
deodar	plant
deodar	actor
deodar	performer
deodar	entertainer
baggage	baggage
poliovirus	virus
poliovirus	microorganism
prebendary	clergyman
prebendary	leader
first-rater	person
first-rater	organism
parlormaid	worker
parlormaid	person
parlormaid	organism
kudu	antelope
kudu	bovid
kudu	ruminant
kudu	ungulate
kudu	placental
kudu	mammal
yellowfin	plant
yellowfin	actor
yellowfin	performer
yellowfin	entertainer
fir	fir
fir	conifer
housedog	worker
housedog	person
housedog	organism
heartleaf	herb
heartleaf	plant
heartleaf	actor
heartleaf	performer
heartleaf	entertainer
heartleaf	person
urial	ruminant
urial	ungulate
urial	placental
urial	mammal
urial	vertebrate
urial	chordate
urial	animal
microgametophyte	plant
microgametophyte	actor
microgametophyte	performer
microgametophyte	entertainer
microgametophyte	person
microgametophyte	organism
pedodontist	athlete
pedodontist	contestant
pedodontist	person
pedodontist	organism
foster-child	child
foster-child	offspring
foster-child	relative
workhorse	workhorse
songwriter	songwriter
songwriter	composer
anchusa	herb
anchusa	plant
anchusa	actor
anchusa	performer
anchusa	entertainer
maidenhair	plant
maidenhair	actor
maidenhair	performer
maidenhair	entertainer
draba	herb
draba	plant
draba	actor
draba	performer
draba	entertainer
probiotic	bacteria
probiotic	microorganism
moneran	moneran
sanderling	bird
sanderling	vertebrate
sanderling	chordate
sanderling	animal
hemiepiphyte	performer
hemiepiphyte	entertainer
hemiepiphyte	person
hemiepiphyte	organism
costumier	creator
costumier	person
costumier	organism
spider	spider
spider	arachnid
turnip	crucifer
turnip	herb
subjugator	person
cyprinid	cyprinid
snail	gastropod
snail	mollusk
babirusa	ungulate
babirusa	placental
babirusa	mammal
babirusa	vertebrate
babirusa	chordate
babirusa	animal
babirusa	organism
sweetleaf	tree
sweetleaf	plant
sweetleaf	actor
sweetleaf	performer
sweetleaf	entertainer
mason	mason
cooter	reptile
ombu	herb
ombu	plant
ombu	actor
ombu	performer
ombu	entertainer
ombu	person
saxifrage	herb
saxifrage	plant
saxifrage	actor
saxifrage	performer
saxifrage	entertainer
strategist	planner
columnea	shrub
columnea	plant
columnea	actor
columnea	performer
columnea	entertainer
columnea	person
columnea	organism
peddler	peddler
pterosaur	diapsid
pterosaur	reptile
pterosaur	vertebrate
pterosaur	chordate
fugitive	fugitive
fugitive	criminal
fugitive	principal
fugitive	financier
ladylove	person
ringtail	bird
ringtail	vertebrate
ringtail	chordate
ringtail	animal
aliterate	person
aliterate	organism
diabetic	diabetic
ciliate	protoctist
ciliate	microorganism
supermom	mother
supermom	abbess
supermom	superior
supermom	religious
citrange	tree
citrange	plant
citrange	actor
citrange	performer
citrange	entertainer
citrange	person
citrange	organism
engelmannia	plant
engelmannia	actor
engelmannia	performer
engelmannia	entertainer
engelmannia	person
engelmannia	organism
secularist	advocate
secularist	lawyer
secularist	professional
secularist	athlete
secularist	contestant
orthomyxovirus	organism
shopper	shopper
ornamental	ornamental
wasp	wasp
angelim	tree
angelim	plant
angelim	actor
angelim	performer
angelim	entertainer
angelim	person
angelim	organism
pronghorn	ruminant
pronghorn	ungulate
pronghorn	placental
pronghorn	mammal
pronghorn	vertebrate
pronghorn	chordate
passionflower	vine
passionflower	plant
passionflower	actor
passionflower	performer
passionflower	entertainer
lister	lister
lister	bureaucrat
balloonfish	vertebrate
balloonfish	chordate
balloonfish	animal
balloonfish	organism
betrothed	betrothed
betrothed	lover
contralto	singer
contralto	musician
contralto	performer
contralto	entertainer
waterbuck	antelope
waterbuck	bovid
waterbuck	ruminant
waterbuck	ungulate
waterbuck	placental
waterbuck	mammal
dulse	microorganism
seedling	spermatophyte
horseweed	plant
horseweed	actor
horseweed	performer
horseweed	entertainer
defaulter	traveler
heretic	unfortunate
calendula	flower
calendula	angiosperm
calendula	spermatophyte
legatee	recipient
legatee	acquirer
skimmer	reader
skimmer	literate
rosilla	plant
rosilla	actor
rosilla	performer
rosilla	entertainer
rosilla	person
rosilla	organism
snow-in-summer	plant
snow-in-summer	actor
snow-in-summer	performer
snow-in-summer	entertainer
snow-in-summer	person
snow-in-summer	organism
coward	coward
regulator	regulator
pioneer	pioneer
pioneer	settler
lawgiver	leader
cowfish	fish
cowfish	vertebrate
cowfish	chordate
cowfish	animal
runner	runner
lithophyte	plant
lithophyte	actor
lithophyte	performer
lithophyte	entertainer
lithophyte	person
lithophyte	organism
skullcap	herb
hornwort	plant
hornwort	actor
hornwort	performer
hornwort	entertainer
blackmailer	criminal
blackmailer	principal
blackmailer	financier
blackmailer	capitalist
blackmailer	conservative
blackmailer	adult
matriarch	head
matriarch	leader
choragus	person
choragus	organism
sugarcane	herb
partridgeberry	plant
partridgeberry	actor
partridgeberry	performer
partridgeberry	entertainer
partridgeberry	person
partridgeberry	organism
addict	addict
dabchick	bird
dabchick	vertebrate
dabchick	chordate
dabchick	animal
dabchick	organism
dummy	dummy
dummy	mute
classicist	scholar
classicist	intellectual
cocklebur	plant
cocklebur	actor
cocklebur	performer
cocklebur	entertainer
sightseer	tourist
sightseer	traveler
fennel	herb
loiterer	person
piroplasm	organism
caper	shrub
sundew	herb
sundew	plant
sundew	actor
sundew	performer
sundew	entertainer
excavator	workman
excavator	employee
skirmisher	combatant
cougar	cougar
cougar	wildcat
cougar	cat
longhorn	longhorn
longhorn	beef
longhorn	cattle
longhorn	bovine
curassow	bird
curassow	vertebrate
curassow	chordate
curassow	animal
greenling	fish
greenling	vertebrate
greenling	chordate
greenling	animal
platy	fish
platy	vertebrate
platy	chordate
platy	animal
flanker	soldier
flanker	serviceman
jaguar	jaguar
jaguar	feline
curly-heads	person
curly-heads	organism
elegist	person
elegist	organism
fieldworker	scientist
sixth-former	person
sixth-former	organism
larcenist	adult
larcenist	person
larcenist	organism
guitarfish	fish
guitarfish	vertebrate
guitarfish	chordate
guitarfish	animal
guitarfish	organism
pinon	pine
pinon	conifer
pinon	tree
cockle	mollusk
cockle	invertebrate
polyoma	microorganism
spokeswoman	spokeswoman
spokeswoman	spokesperson
spokeswoman	advocate
spokeswoman	lawyer
scyphozoan	animal
scyphozoan	organism
flagellate	protoctist
flagellate	microorganism
toolmaker	maker
toolmaker	creator
pirate	pirate
pirate	plunderer
pirate	thief
omnivore	eater
omnivore	consumer
omnivore	user
stockist	supplier
stockist	businessperson
stockist	capitalist
stockist	conservative
jasmine	jasmine
zebra	zebra
great-uncle	kinsman
great-uncle	relative
bushbuck	bovid
bushbuck	ruminant
bushbuck	ungulate
bushbuck	placental
bushbuck	mammal
bushbuck	vertebrate
bushbuck	chordate
bushbuck	animal
roller	roller
roller	pigeon
flathead	fish
patentee	creator
argus	argus
argus	pheasant
argus	phasianid
surpriser	person
surpriser	organism
nanny	nanny
nanny	keeper
fondler	person
fondler	organism
gopher	rat
gopher	rodent
muncher	consumer
muncher	user
presbyope	person
presbyope	organism
algebraist	mathematician
algebraist	scientist
hominoid	primate
hominoid	placental
hominoid	mammal
hominoid	vertebrate
hominoid	chordate
hominoid	animal
dicot	angiosperm
dicot	spermatophyte
dicot	plant
dicot	actor
dicot	performer
dicot	entertainer
sommelier	employee
bark-louse	organism
incompetent	incompetent
constituent	constituent
constituent	voter
constituent	citizen
haranguer	communicator
haranguer	person
haranguer	organism
inquisitor	speaker
inquisitor	articulator
inquisitor	communicator
phlox	herb
cunt	cunt
wildcat	wildcat
douroucouli	vertebrate
douroucouli	chordate
douroucouli	animal
douroucouli	organism
nonstarter	horse
nonstarter	equine
nonstarter	ungulate
nonstarter	placental
nonstarter	mammal
nonstarter	vertebrate
nonstarter	chordate
nonstarter	animal
alderfly	animal
alderfly	organism
basketweaver	person
basketweaver	organism
locksmith	smith
hygienist	specialist
hygienist	expert
conditioner	conditioner
conditioner	coach
conditioner	trainer
silversword	shrub
silversword	plant
silversword	actor
silversword	performer
silversword	entertainer
patternmaker	maker
patternmaker	creator
trustee	trustee
trustee	fiduciary
bricklayer	craftsman
spiderwort	herb
spiderwort	plant
spiderwort	actor
spiderwort	performer
spiderwort	entertainer
horseleech	person
horseleech	organism
toaster	toaster
toaster	supporter
toaster	advocate
toaster	lawyer
swagman	laborer
swagman	workman
swagman	employee
killdeer	bird
viticulturist	creator
viticulturist	person
fireweed	plant
fireweed	actor
fireweed	performer
fireweed	entertainer
voyager	voyager
marcher	marcher
marcher	pedestrian
gastrula	plant
gastrula	actor
gastrula	performer
gastrula	entertainer
frontbencher	person
frontbencher	organism
draftee	serviceman
draftee	worker
tuna	tuna
tuna	cactus
tuna	succulent
featherweight	wrestler
featherweight	combatant
felwort	plant
felwort	actor
felwort	performer
felwort	entertainer
felwort	person
felwort	organism
poikilotherm	animal
poikilotherm	organism
caregiver	caregiver
baronduki	organism
ham	ham
hag	woman
hag	female
axolotl	vertebrate
axolotl	chordate
axolotl	animal
paraprofessional	paraprofessional
beloved	beloved
grandstander	person
grandstander	organism
weevil	beetle
weevil	insect
weevil	arthropod
weevil	invertebrate
chorister	singer
chorister	musician
chorister	performer
chorister	entertainer
pothos	vine
pothos	plant
pothos	actor
pothos	performer
pothos	entertainer
shadow	shadow
wirehair	dog
wirehair	chap
wirehair	male
vigilante	volunteer
abiogenist	person
abiogenist	organism
stylist	artist
spatterdock	plant
spatterdock	actor
spatterdock	performer
spatterdock	entertainer
spatterdock	person
spatterdock	organism
bobby	bobby
angiopteris	plant
angiopteris	actor
angiopteris	performer
angiopteris	entertainer
angiopteris	person
angiopteris	organism
schnorrer	person
schnorrer	organism
walk-on	actor
olm	vertebrate
olm	chordate
captive	captive
fagot	homosexual
lizard's-tail	person
lizard's-tail	organism
fiduciary	fiduciary
creep	creep
flavivirus	virus
flavivirus	microorganism
okra	herb
arctiid	insect
arctiid	arthropod
arctiid	invertebrate
stingray	ray
stingray	elasmobranch
stingray	fish
mantispid	animal
mantispid	organism
cultist	follower
cultist	traveler
shaker	shaker
anaspid	organism
lighterman	worker
lighterman	person
lighterman	organism
loyalist	supporter
loyalist	advocate
loyalist	lawyer
loyalist	professional
loyalist	athlete
loyalist	contestant
stoker	laborer
stoker	workman
stoker	employee
paperhanger	craftsman
paperhanger	worker
breakax	person
breakax	organism
lackey	servant
bloodleaf	plant
bloodleaf	actor
bloodleaf	performer
bloodleaf	entertainer
bloodleaf	person
bloodleaf	organism
bobwhite	game
sod	guy
carpetweed	plant
carpetweed	actor
carpetweed	performer
carpetweed	entertainer
botulinus	organism
sow	swine
stockholder	investor
soy	soy
soy	legume
soy	climber
mamba	snake
disentangler	person
disentangler	organism
authorizer	authority
authorizer	expert
alphabetizer	person
alphabetizer	organism
pleurodont	organism
sculptress	artist
sculptress	creator
escherichia	microorganism
symposiast	assistant
symposiast	worker
symposiast	person
symposiast	organism
chough	oscine
chough	passerine
chough	bird
chough	vertebrate
chough	chordate
chough	animal
raper	criminal
raper	principal
raper	financier
raper	capitalist
raper	conservative
raper	adult
thrips	insect
thrips	arthropod
thrips	invertebrate
perfumer	maker
perfumer	creator
cassowary	bird
cassowary	vertebrate
cassowary	chordate
cassowary	animal
ratite	ratite
scoter	duck
scoter	waterfowl
scoter	bird
scoter	vertebrate
scoter	chordate
beech	beech
otter	otter
otter	carnivore
otter	predator
extremist	radical
signalman	employee
smasher	woman
smasher	female
cicada	insect
cicada	arthropod
cicada	invertebrate
pest	pest
pest	tormentor
pest	oppressor
stipendiary	judge
stipendiary	official
stipendiary	worker
liberal	liberal
counterspy	spy
counterspy	spectator
counterspy	perceiver
partygoer	attendant
partygoer	assistant
partygoer	worker
scarab	beetle
quintuplet	relative
cassia	laurel
cassia	tree
barracouta	fish
barracouta	vertebrate
barracouta	chordate
barracouta	animal
barracouta	organism
aurochs	bovid
aurochs	ruminant
aurochs	ungulate
aurochs	placental
aurochs	mammal
aurochs	vertebrate
aurochs	chordate
aurochs	animal
smelt	fish
utterer	person
nestling	young
zany	clown
zany	fool
zany	simpleton
burbot	fish
burbot	vertebrate
burbot	chordate
burbot	animal
geezer	man
nondriver	traveler
nondriver	person
nondriver	organism
poultryman	adult
poultryman	person
poultryman	organism
conferrer	communicator
conferrer	person
conferrer	organism
suksdorfia	plant
suksdorfia	actor
suksdorfia	performer
suksdorfia	entertainer
suksdorfia	person
suksdorfia	organism
peacock	peacock
peacock	nymphalid
campanula	herb
campanula	plant
pothunter	worker
pothunter	person
pothunter	organism
vibist	performer
vibist	entertainer
vibist	person
vibist	organism
crocodile	crocodile
crocodile	diapsid
crocodile	reptile
skate	skate
skate	ray
skate	elasmobranch
burgomaster	politician
burgomaster	schemer
burgomaster	planner
actinomyces	microorganism
katydid	insect
katydid	arthropod
katydid	invertebrate
katydid	animal
briber	capitalist
briber	conservative
briber	adult
ectoproct	organism
nosher	consumer
nosher	user
malacologist	person
malacologist	organism
podocarp	tree
podocarp	plant
podocarp	actor
podocarp	performer
podocarp	entertainer
podocarp	person
macho	male
dragonfly	dragonfly
dragonfly	odonate
acidophilus	eubacteria
acidophilus	moneran
acidophilus	microorganism
jerk	jerk
jerk	misfit
jerk	anomaly
ameba	microorganism
prancer	horse
prancer	equine
prancer	ungulate
prancer	placental
prancer	mammal
prancer	vertebrate
prancer	chordate
prancer	animal
votary	religious
willowherb	herb
willowherb	plant
willowherb	actor
willowherb	performer
willowherb	entertainer
gallfly	animal
gallfly	organism
catmint	herb
catmint	plant
catmint	actor
catmint	performer
catmint	entertainer
commentator	writer
commentator	literate
crustacean	crustacean
oviraptorid	vertebrate
oviraptorid	chordate
oviraptorid	animal
oviraptorid	organism
teal	teal
teal	duck
teal	waterfowl
dik-dik	bovid
dik-dik	ruminant
dik-dik	ungulate
dik-dik	placental
dik-dik	mammal
dik-dik	vertebrate
dik-dik	chordate
dik-dik	animal
blade	blade
minion	dependant
minion	recipient
minion	acquirer
brachyuran	animal
brachyuran	organism
parvovirus	virus
parvovirus	microorganism
ogler	person
ogler	organism
heavyweight	heavyweight
heavyweight	wrestler
heavyweight	combatant
twinflower	shrub
twinflower	plant
twinflower	actor
twinflower	performer
twinflower	entertainer
twinflower	person
silly	silly
gnat	mosquito
gnat	insect
streptomyces	eubacteria
streptomyces	moneran
streptomyces	microorganism
bandsman	musician
bandsman	performer
bandsman	entertainer
psocid	animal
psocid	organism
drafter	writer
drafter	literate
mafioso	inhabitant
overnighter	guest
overnighter	customer
overnighter	consumer
overnighter	user
filefish	fish
filefish	vertebrate
filefish	chordate
filefish	animal
coxcomb	man
coxcomb	subordinate
coxcomb	assistant
coxcomb	worker
baobab	tree
musicologist	scholar
musicologist	intellectual
lionfish	fish
lionfish	vertebrate
lionfish	chordate
lionfish	animal
catamite	person
catamite	organism
instar	arthropod
instar	invertebrate
radish	crucifer
radish	herb
eulogist	communicator
eulogist	person
eulogist	organism
rosewood	rosewood
bryozoan	invertebrate
bryozoan	animal
luthier	craftsman
crammer	student
crammer	enrollee
phoronid	animal
phoronid	organism
needlewood	plant
needlewood	actor
needlewood	performer
needlewood	entertainer
needlewood	person
needlewood	organism
prosecutor	prosecutor
guardsman	soldier
guardsman	serviceman
skua	bird
skua	vertebrate
skua	chordate
bluegill	fish
scratcher	workman
scratcher	employee
ceratosaur	vertebrate
ceratosaur	chordate
ceratosaur	animal
petrel	seabird
petrel	bird
mascot	mascot
believer	believer
tinamou	game
tinamou	animal
biophysicist	scientist
phoebe	phoebe
phoebe	tyrannid
phoebe	passerine
pumpkin	pumpkin
pumpkin	squash
angiologist	person
angiologist	organism
postulator	leader
postulator	person
postulator	organism
romanticist	artist
romanticist	creator
admirer	admirer
admirer	lover
stockbroker	agent
stockbroker	official
mauler	combatant
pinto	horse
pinto	equine
cocksucker	sensualist
immune	immune
hydrologist	scientist
elephant	elephant
elephant	proboscidean
woodlouse	arthropod
woodlouse	invertebrate
woodlouse	animal
lepidopterist	person
lepidopterist	organism
technocrat	politician
technocrat	schemer
technocrat	planner
spouter	placental
spouter	mammal
spouter	vertebrate
spouter	chordate
spouter	animal
spouter	organism
dove	dove
dove	pacifist
guereza	primate
guereza	placental
guereza	mammal
guereza	vertebrate
guereza	chordate
guereza	animal
guereza	organism
sonneteer	person
sonneteer	organism
pullet	female
nebbish	simpleton
sandboy	businessperson
sandboy	capitalist
sandboy	conservative
sandboy	adult
sandboy	person
sandboy	organism
placeman	worker
placeman	person
placeman	organism
maneuverer	person
maneuverer	organism
archeologist	scientist
crapshooter	person
crapshooter	organism
dromaeosaur	vertebrate
dromaeosaur	chordate
dromaeosaur	animal
dromaeosaur	organism
farmhand	farmhand
farmhand	laborer
farmhand	workman
crowbait	vertebrate
crowbait	chordate
crowbait	animal
crowbait	organism
dallier	person
dallier	organism
merino	sheep
merino	simpleton
maniraptor	diapsid
maniraptor	reptile
dicynodont	vertebrate
dicynodont	chordate
dicynodont	animal
dicynodont	organism
overlord	ruler
muser	intellectual
cinchona	tree
cinchona	plant
cinchona	actor
cinchona	performer
cinchona	entertainer
greenshank	bird
greenshank	vertebrate
greenshank	chordate
greenshank	animal
civilian	civilian
smallholder	farmer
smallholder	creator
sorter	clerk
sorter	employee
macebearer	worker
macebearer	person
macebearer	organism
hickory	hickory
abrogator	person
abrogator	organism
fisherman	fisherman
cabbageworm	animal
cabbageworm	organism
broodmare	horse
broodmare	equine
broodmare	ungulate
broodmare	placental
broodmare	mammal
broodmare	vertebrate
broodmare	chordate
broodmare	animal
turtle	turtle
turtle	chelonian
turtle	anapsid
chaja	vertebrate
chaja	chordate
chaja	animal
chaja	organism
clintonia	plant
clintonia	actor
clintonia	performer
clintonia	entertainer
pyrrhuloxia	bird
pyrrhuloxia	vertebrate
pyrrhuloxia	chordate
pyrrhuloxia	animal
pyrrhuloxia	organism
contributor	contributor
gamine	child
gamine	offspring
gamine	relative
hinny	equine
hinny	ungulate
hinny	placental
hinny	mammal
hinny	vertebrate
hinny	chordate
hinny	animal
lymantriid	insect
lymantriid	arthropod
lymantriid	invertebrate
vibrio	eubacteria
vibrio	moneran
vibrio	microorganism
internee	unfortunate
nyala	antelope
nyala	bovid
nyala	ruminant
nyala	ungulate
nyala	placental
nyala	mammal
nyala	vertebrate
nyala	chordate
nyala	animal
mahout	worker
vervet	primate
vervet	placental
vervet	mammal
vervet	vertebrate
vervet	chordate
vervet	animal
tutee	learner
nominalist	scholar
nominalist	intellectual
stonecress	plant
stonecress	actor
stonecress	performer
stonecress	entertainer
stonecress	person
stonecress	organism
reveler	priest
reveler	clergyman
reveler	leader
billfish	billfish
billfish	scombroid
hairdresser	hairdresser
liege	ruler
mime	mime
grandma	grandma
grandma	grandparent
grandma	forebear
councilwoman	member
barrister	lawyer
barrister	professional
falcon-gentle	person
falcon-gentle	organism
initiate	initiate
obstructionist	disputant
blueweed	plant
blueweed	actor
blueweed	performer
blueweed	entertainer
blueweed	person
blueweed	organism
ormer	invertebrate
ormer	animal
walk-in	walk-in
walk-in	agent
yarrow	herb
tipster	authority
tipster	expert
nester	bird
sheldrake	duck
sheldrake	waterfowl
sheldrake	bird
princeling	leader
princeling	person
princeling	organism
fer-de-lance	person
sightreader	performer
sightreader	entertainer
sightreader	person
sightreader	organism
eelworm	person
eelworm	organism
starfish	invertebrate
tapster	employee
tapster	worker
veery	singer
veery	musician
veery	performer
veery	entertainer
boyfriend	boyfriend
coati	carnivore
coati	predator
coati	animal
tayra	animal
tayra	organism
cavalier	cavalier
bisexual	bisexual
bisexual	sensualist
counselor	counselor
counselor	supervisor
printmaker	artist
printmaker	creator
greasewood	shrub
greasewood	plant
greasewood	actor
greasewood	performer
greasewood	entertainer
supremacist	advocate
supremacist	lawyer
supremacist	professional
supremacist	athlete
supremacist	contestant
greyhound	greyhound
greyhound	racer
greyhound	snake
alocasia	herb
alocasia	plant
alocasia	actor
alocasia	performer
alocasia	entertainer
balsam	spermatophyte
spender	customer
spender	consumer
spender	user
taster	critic
turner	turner
highflier	person
highflier	organism
tulip	tulip
witch-hunter	person
brodiaea	plant
brodiaea	actor
brodiaea	performer
brodiaea	entertainer
standard-bearer	politician
standard-bearer	schemer
standard-bearer	planner
myna	oscine
myna	passerine
myna	bird
myna	vertebrate
myna	chordate
myna	animal
hematologist	expert
cenobite	religious
blackcap	singer
blackcap	musician
blackcap	performer
blackcap	entertainer
tumblebug	animal
tumblebug	organism
architeuthis	invertebrate
architeuthis	animal
salp	chordate
salp	animal
cobra	cobra
cobra	elapid
opportunist	opportunist
complexifier	person
complexifier	organism
redpoll	oscine
redpoll	passerine
redpoll	bird
redpoll	vertebrate
redpoll	chordate
redpoll	animal
ling	ling
ling	sedge
propagandist	communicator
lion's-ear	person
lion's-ear	organism
serin	oscine
serin	passerine
serin	bird
serin	vertebrate
serin	chordate
serin	animal
entoproct	animal
entoproct	organism
pilotfish	vertebrate
pilotfish	chordate
pilotfish	animal
pilotfish	organism
archaebacteria	microorganism
gourd	gourd
refinisher	worker
scorpaenoid	scorpaenoid
psychiatrist	psychiatrist
psychiatrist	specialist
banderillero	person
banderillero	organism
mandarin	mandarin
mandarin	citrus
factotum	servant
gastropod	gastropod
gastropod	mollusk
recombinant	recombinant
scorekeeper	official
arbutus	shrub
trumpetfish	fish
trumpetfish	vertebrate
trumpetfish	chordate
trumpetfish	animal
neutralist	professional
neutralist	athlete
neutralist	contestant
soloist	musician
quandong	tree
quandong	plant
quandong	actor
quandong	performer
quandong	entertainer
landlord	landlord
landlord	landowner
masseur	expert
archaeornis	vertebrate
archaeornis	chordate
archaeornis	animal
archaeornis	organism
saurischian	diapsid
saurischian	reptile
postdoc	scientist
diver	diver
diver	explorer
bugler	musician
bugler	performer
bugler	entertainer
vaccinee	unfortunate
vaccinee	person
vaccinee	organism
balletomane	person
balletomane	organism
sable	sable
sable	marten
sable	carnivore
sable	predator
bibliophile	scholar
bibliophile	intellectual
shrimpfish	vertebrate
shrimpfish	chordate
shrimpfish	animal
shrimpfish	organism
dreamer	dreamer
dreamer	sleeper
dreamer	rester
jumper	jumper
cantaloupe	vine
penguin	penguin
penguin	seabird
shagbark	tree
shagbark	plant
shagbark	actor
shagbark	performer
shagbark	entertainer
amora	leader
moneymaker	capitalist
moneymaker	conservative
mucuna	shrub
mucuna	plant
mucuna	actor
mucuna	performer
mucuna	entertainer
sannyasi	unfortunate
quack	deceiver
quack	wrongdoer
millionaire	millionaire
whiptail	lizard
whiptail	saurian
whiptail	diapsid
whiptail	reptile
whiptail	vertebrate
whiptail	chordate
crow	crow
holophyte	person
holophyte	organism
midshipman	novice
greenwing	bird
greenwing	vertebrate
greenwing	chordate
greenwing	animal
pahautea	person
pahautea	organism
boar	swine
shiksa	woman
shiksa	female
fumigator	worker
fumigator	person
diamondback	viper
diamondback	snake
tentmaker	maker
tentmaker	creator
hare	hare
hare	leporid
hare	lagomorph
defeatist	intellectual
amoralist	person
amoralist	organism
chamois	bovid
chamois	ruminant
chamois	ungulate
davallia	plant
davallia	actor
davallia	performer
davallia	entertainer
davallia	person
davallia	organism
pinko	socialist
pinko	politician
pinko	schemer
pinko	planner
taoiseach	chancellor
farmerette	worker
farmerette	person
farmerette	organism
priestess	priest
priestess	clergyman
hawthorn	hawthorn
croaker	fish
croaker	vertebrate
croaker	chordate
fig-bird	vertebrate
fig-bird	chordate
fig-bird	animal
fig-bird	organism
driveller	person
driveller	organism
hermaphrodite	bisexual
hermaphrodite	sensualist
nonreader	person
nonreader	organism
jawfish	fish
jawfish	vertebrate
jawfish	chordate
jawfish	animal
consigner	businessperson
consigner	capitalist
consigner	conservative
consigner	adult
gelding	male
wirer	communicator
wirer	person
wirer	organism
barbet	bird
barbet	vertebrate
barbet	chordate
barbet	animal
barber	barber
barber	hairdresser
extern	extern
extern	doctor
hummingbird	hummingbird
agronomist	expert
coiffeuse	worker
coiffeuse	person
